"","order","family","genus","species","sex.system","SCS","scs.notes","fem.2n","fem.hap","mal.2n","cite.key"
"2","Isoptera","Termitidae","Amitermes","Amitermes_germanus","","","",42,21,NA,"bergamaschi2007karyology"
"3","Blattodea","Blaberidae","Archimandrita","Archimandrita_tessellata","","XO","",46,23,45,"white1976blattodea"
"4","Mantodea","Hymenopodidae","Antemna","Antemna_rapax","","complex XY","XXY",28,14,27,"white1976blattodea"
"5","Mantodea","Mantidae","Antistia","Antistia_sp","","XO","",28,14,27,"white1976blattodea"
"6","Mantodea","Mantidae","Archimantis","Archimantis_sobrina","","complex XY","",28,14,27,"white1976blattodea"
"7","Mantodea","Mantidae","Bolbe","Bolbe_pallida","","XO","",30,15,25,"white1976blattodea"
"8","Mantodea","Mantidae","Callimantis","Callimantis_antillarum","","XO","",18,9,17,"white1976blattodea"
"9","Mantodea","Mantidae","Cheddikulama","Cheddikulama_straminea","","complex XY","XXY",28,14,27,"white1976blattodea"
"10","Mantodea","Mantidae","Choeradodis","Choeradodis_rhombicollis","","complex XY","XXY",32,16,31,"white1976blattodea"
"11","Mantodea","Amorphoscelidae","Cliomantis","Cliomantis_cornuta","","XO","",26,13,25,"white1976blattodea"
"12","Mantodea","Hymenopodidae","Creobroter","Creobroter_laevicollis","","XO","",28,14,27,"white1976blattodea"
"13","Mantodea","Mantidae","Deiphobe","Deiphobe_sp","","XO","",20,10,19,"white1976blattodea"
"14","Isoptera","Termitidae","Amitermes","Amitermes_parvus","gonochorous","complex XY|homomorphic","X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males",42,21,42,"bergamaschi2007karyology"
"15","Orthoptera","Acrididae","Atrachelacris","Atrachelacris_sp","","XY","",22,11,22,"mesa1982cariologia"
"16","Mantodea","Eremiaphilidae","Didymocorypha","Didymocorypha_lanceolata","","XO","",16,8,15,"white1976blattodea"
"17","Mantodea","Mantidae","Dystacta","Dystacta_alticeps","","XO","",26,13,25,"white1976blattodea"
"18","Mantodea","Empusidae","Empusa","Empusa_sp","","XO","",28,14,27,"white1976blattodea"
"19","Mantodea","Empusidae","Gongylus","Gongylus_sp","","XO","",28,14,27,"white1976blattodea"
"20","Mantodea","Hymenopodidae","Harpagomantis","Harpagomantis_tricolor","","XO","",26,13,25,"white1976blattodea"
